,criteres,soleil,lune,mercure,venus,mars,jupiter,saturne,uranus,neptune,pluton
0,Conj. AC max 5°,0,0,0,0,0,0,0,0,12,0
1,Conj. MC max 5°,0,0,0,0,0,0,0,10,0,0
2,Conj. FC max 10°,0,0,0,0,0,0,0,0,0,0
3,Conj. DS max 10°,0,0,0,0,0,0,0,0,0,0
4,M1 | 5° - 10° AC,0,0,0,0,0,0,0,0,0,0
5,M10 | 5° - 10° MC,0,0,0,0,0,0,0,0,0,0
6,En domicile,0,0,0,0,0,0,0,0,0,0
7,Aspect soleil,0,0,0,0,0,0,2,2,0,0
8,Aspect lune,0,0,2,2,0,2,2,0,0,0
9,Maître AC,0,0,0,0,3,0,0,0,0,3
10,Maître soleil,0,0,0,0,0,2,0,0,0,0
11,Maître lune,0,0,0,0,2,0,0,0,0,0
12,Maître gouverneur,0,0,2,0,2,0,0,0,0,2
13,Aspects majeurs,2,4,3,3,1,3,3,3,4,2
14,Plusieurs maîtrises,0,0,0,0,4,4,4,0,0,4
15,Aspect maître AC,0,0,3,0,0,0,0,3,3,0
16,Planète lente amas,0,0,0,0,0,0,0,0,0,0
17,Maître Noeud Sud,0,0,0,3,0,0,0,0,0,0
18,Singleton,0,6,0,0,0,0,0,0,0,0
19,Total,2,10,10,8,12,11,11,18,19,11
20,Pourcentage,1.8,8.9,8.9,7.1,10.7,9.8,9.8,16.1,17.0,9.8
